Dimension,Level,n,median_degree,p25,p75,pct_dropped,share_full,share_kept,delta_pp
Age,35 to 60,450230,70,24,192,11.70401794638296,50.819755399662505,52.56341432455017,1.7436589248876686
Age,Under 35,314319,38,14,101,18.452273009267657,35.47878794719703,33.891492219977366,-1.5872957272196615
Age,Over 60,108744,60,19,186,15.107959979401162,12.274489663462894,12.206199689010653,-0.06828997445224161
Gender,Male,552850,51,18,141,15.311205571131408,62.40299796260448,61.90724266689233,-0.4957552957121507
Gender,Female,330483,61,21,178,13.46604817796982,37.30330103224277,37.81323714524472,0.5099361130019489
"Metro
Area",Major Metropolitan Areas,788149,56,19,159,14.546741796284712,88.96239566108123,89.05230227318404,0.08990661210280848
"Metro
Area",Minor Metropolitan Areas,52972,43,16,112,15.978252661783584,5.979219694447109,5.884997408422099,-0.09422228602501015
"Metro
Area",Outside of Metropolitan Areas,23812,42,16,107,15.349403662019151,2.687781835010469,2.665226313506881,-0.022555521503587972
Party,Democrat,547308,64,21,184,13.959964042184655,61.77744416915462,62.264510191776765,0.4870660226221446
Party,Republican,338627,44,16,114,15.720837381543703,38.22255583084538,37.735489808223235,-0.4870660226221446
Race,White,587813,59,21,163,12.58240290704697,66.3494500160847,67.94323915503982,1.5937891389551169
Race,Hispanic,95694,30,9,91,25.24714193157356,10.801469633776744,9.458465997440156,-1.3430036363365883
Race,Black,78314,46,14,137,19.018310902265238,8.839700429489747,8.385605635888593,-0.4540947936011541
Race,Other,44227,53,17,158,16.26834286747914,4.992126961910298,4.896495552006093,-0.09563140990420482
"State
Politics",Blue States,350020,62,20,185,14.129192617564708,39.50854182304571,39.741714884119446,0.23317306107373525
"State
Politics",Red States,324378,50,18,132,14.570655223227222,36.614198558584995,36.64094481525752,0.026746256672524282
"State
Politics",Purple States,211537,52,18,145,15.562289339453619,23.877259618369294,23.617340300623038,-0.259919317746256
