spec_lab,Group,N,Precision,Recall,F1,Accuracy,Partisan Precision,Partisan Coverage
Single split at 0 (0.000 / +0.000),Democrat,153251,0.761,0.871,0.813,0.691,0.853,1
Single split at 0 (0.000 / +0.000),Republican,59469,0.549,0.807,0.654,0.691,0.853,1
Single split at 0 (0.000 / +0.000),Other / Non-Partisan,49978,NA,0,NA,0.691,0.853,1
80th pct (paper) (-0.351 / +0.045),Democrat,153251,0.78,0.8,0.79,0.668,0.86,0.93
80th pct (paper) (-0.351 / +0.045),Republican,59469,0.557,0.801,0.657,0.668,0.86,0.93
80th pct (paper) (-0.351 / +0.045),Other / Non-Partisan,49978,0.257,0.103,0.147,0.668,0.86,0.93
75th pct (-0.527 / +0.393),Democrat,153251,0.789,0.75,0.769,0.652,0.892,0.837
75th pct (-0.527 / +0.393),Republican,59469,0.629,0.738,0.679,0.652,0.892,0.837
75th pct (-0.527 / +0.393),Other / Non-Partisan,49978,0.266,0.252,0.259,0.652,0.892,0.837
70th pct (-0.673 / +0.637),Democrat,153251,0.796,0.7,0.745,0.631,0.904,0.775
70th pct (-0.673 / +0.637),Republican,59469,0.66,0.702,0.68,0.631,0.904,0.775
70th pct (-0.673 / +0.637),Other / Non-Partisan,49978,0.259,0.336,0.293,0.631,0.904,0.775
