partisanship,unit,1st,10th,25th,Median,75th,90th,99th,n_min,n_max
Democrat,nn1000,0.23411138870300002,0.42196004288000005,0.5524035675000001,0.71347609135,0.8555469176499999,0.932100867,0.985607760434,1000,1000
Democrat,precinct,0.231362848387,0.4199157908,0.551444666475,0.7140256791,0.858819001,0.9355783763,0.9881109450950001,1,32867
Democrat,tract,0.23544083158,0.4200024231,0.5486841154,0.7095410623,0.8552416734,0.932588318,0.9876104697,1,48982
Democrat,school,0.2491332323,0.4244280476,0.5416502178,0.6947226091,0.826472256,0.9006487969,0.9665147294,24,5042454
Democrat,county,0.2604073846,0.4364085732,0.5529912543,0.6476438861,0.7509369795,0.8274879882,0.9103036478,556,6260012
Democrat,cd,0.2801349986,0.398593558,0.4984280983,0.6317655001,0.7638371188,0.8750190312,0.9132940198,289967,832543
Republican,nn1000,0.0996061367,0.30954214113,0.44369722500000003,0.5671168476999999,0.675781612375,0.76288461988,0.8616671364,1000,1000
Republican,precinct,0.09634371665599999,0.31069671912,0.4497170056,0.5710644163,0.6789760172,0.7655043719,0.8650242433,1,32867
Republican,tract,0.09937324269000002,0.3100661316,0.4449368418,0.5669460028,0.672843657,0.7583274407,0.8531800882,1,48982
Republican,school,0.1053967528,0.2837362265,0.4278372958,0.5512194419,0.6565505397,0.7426373838,0.8454914589,24,5042454
Republican,county,0.1398928452,0.303472553,0.4010637258,0.5134240208,0.6209037337,0.7205145235,0.8288260523,556,6260012
Republican,cd,0.1249809688,0.3182066117,0.4450039574,0.5399382538,0.6226630105,0.6780893771,0.7806469171,289967,832543
