spec_lab,Group,N,Precision,Recall,F1,Accuracy,Partisan Precision,Partisan Coverage
Single split at 0 (0.000 / +0.000),Democrat,1031,0.895,0.928,0.911,0.842,0.922,1
Single split at 0 (0.000 / +0.000),Republican,384,0.725,0.906,0.806,0.842,0.922,1
Single split at 0 (0.000 / +0.000),Independent,134,NA,0,NA,0.842,0.922,1
80th pct (paper) (-0.351 / +0.045),Democrat,1031,0.913,0.882,0.897,0.82,0.93,0.955
80th pct (paper) (-0.351 / +0.045),Republican,384,0.731,0.904,0.808,0.82,0.93,0.955
80th pct (paper) (-0.351 / +0.045),Independent,134,0.179,0.104,0.132,0.82,0.93,0.955
75th pct (-0.527 / +0.393),Democrat,1031,0.92,0.84,0.878,0.793,0.957,0.886
75th pct (-0.527 / +0.393),Republican,384,0.8,0.867,0.833,0.793,0.957,0.886
75th pct (-0.527 / +0.393),Independent,134,0.156,0.224,0.184,0.793,0.957,0.886
70th pct (-0.673 / +0.637),Democrat,1031,0.921,0.79,0.85,0.754,0.964,0.829
70th pct (-0.673 / +0.637),Republican,384,0.821,0.826,0.823,0.754,0.964,0.829
70th pct (-0.673 / +0.637),Independent,134,0.133,0.276,0.179,0.754,0.964,0.829
